image,group_idx,median_m,mean_m,count
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1012_right.jpg",0,14.343100133360453,14.343100133360453,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1013_left.jpg",0,9.383261028647283,9.395255121024652,6
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1013_left.jpg",1,5.536231170654154,5.6005807451939615,6
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1013_left.jpg",2,11.835895310901742,11.835895310901742,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1014_left.jpg",0,12.282860045343439,12.547558141229803,8
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1014_left.jpg",1,92.5943601806741,95.96793286860861,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1014_left.jpg",2,9.2013818497535,8.676186016667032,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1014_right.jpg",0,10.472387594108774,10.575428328046916,4
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1014_right.jpg",1,16.4501884513289,16.4501884513289,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1015_left.jpg",0,15.077014231716202,15.077014231716202,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1015_right.jpg",0,2.400935473982426,2.400935473982426,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1015_right.jpg",1,5.974390476473555,5.974390476473555,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1016_left.jpg",0,16.928146432210468,16.928146432210468,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1016_right.jpg",0,18.7095330240851,18.378119909888845,6
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1016_right.jpg",1,19.71800226476153,19.71800226476153,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1017_left.jpg",0,10.271594205949425,10.332467307066565,10
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1017_right.jpg",0,16.538099817119704,14.651702902616943,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1017_right.jpg",1,19.324229485204,19.324229485204,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1018_left.jpg",0,10.07353102763904,10.145200412440156,11
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1018_left.jpg",1,14.880289686973383,14.880289686973383,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1018_right.jpg",0,19.819837745881795,19.819837745881795,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1019_left.jpg",0,17.37833544992235,17.844853109070893,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1019_left.jpg",1,15.914578041570875,13.041404208630086,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1019_left.jpg",2,6.62174638295409,6.62174638295409,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1019_left.jpg",3,356.72203117771915,356.72203117771915,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1019_left.jpg",4,113.77187753056216,113.77187753056216,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/101_right.jpg",0,13.80674642473622,13.80674642473622,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/101_right.jpg",1,17.53894266804437,19.213373225395614,4
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/101_right.jpg",2,6.463320373235096,6.463320373235096,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1020_right.jpg",0,17.474281838622247,18.03709282232665,20
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1020_right.jpg",1,10.01179158726166,9.9445246352701,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1021_right.jpg",0,7.70719058354792,7.70719058354792,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1021_right.jpg",1,8.347220761726573,8.347220761726573,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1021_right.jpg",2,15.09948497754036,15.09948497754036,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1022_left.jpg",0,9.102001209409941,9.102001209409941,1
